date,open,high,low,close,volume,turnover
2026/02/10,4.733,4.739,4.72,4.733,680461663.0,0.0
2026/02/11,4.727,4.732,4.714,4.723,372078690.0,0.0
2026/02/12,4.729,4.735,4.716,4.727,398012411.0,0.0
2026/02/13,4.714,4.714,4.667,4.671,1367357151.0,0.0
2026/02/24,4.725,4.736,4.705,4.716,624245587.0,0.0
2026/02/25,4.717,4.778,4.716,4.75,873403106.0,0.0
2026/02/26,4.751,4.754,4.712,4.735,766372132.0,0.0
2026/02/27,4.72,4.732,4.7,4.725,606245261.0,0.0
2026/03/02,4.694,4.743,4.674,4.739,1242367525.0,0.0
2026/03/03,4.741,4.751,4.665,4.678,966557866.0,0.0
2026/03/04,4.64,4.65,4.587,4.61,829224020.0,0.0
2026/03/05,4.647,4.678,4.639,4.654,568420959.0,0.0
2026/03/06,4.64,4.682,4.624,4.667,504375859.0,0.0
2026/03/09,4.623,4.638,4.56,4.629,838098260.0,0.0
2026/03/10,4.642,4.689,4.641,4.683,546012517.0,0.0
2026/03/11,4.686,4.719,4.682,4.711,593712221.0,0.0
2026/03/12,4.711,4.711,4.665,4.694,343383626.0,0.0
2026/03/13,4.672,4.716,4.67,4.677,325112905.0,0.0
2026/03/16,4.675,4.686,4.632,4.68,403862701.0,0.0
2026/03/17,4.686,4.731,4.645,4.646,723337660.0,0.0
2026/03/18,4.652,4.67,4.616,4.662,770262709.0,0.0
2026/03/19,4.621,4.641,4.581,4.599,772241809.0,0.0
2026/03/20,4.598,4.635,4.573,4.576,761273568.0,0.0
2026/03/23,4.528,4.537,4.406,4.43,1523498110.0,0.0
2026/03/24,4.463,4.48,4.405,4.479,850435100.0,0.0
2026/03/25,4.51,4.549,4.504,4.544,867712637.0,0.0
2026/03/26,4.536,4.547,4.477,4.488,474242414.0,0.0
2026/03/27,4.45,4.53,4.445,4.508,562690826.0,0.0
2026/03/30,4.462,4.505,4.453,4.5,543994287.0,0.0
2026/03/31,4.501,4.529,4.462,4.463,530565553.0,0.0
2026/04/01,4.52,4.542,4.501,4.534,501228066.0,0.0
2026/04/02,4.521,4.526,4.47,4.489,466351103.0,0.0
2026/04/03,4.495,4.506,4.446,4.454,426109595.0,0.0
2026/04/07,4.455,4.47,4.431,4.446,428568561.0,0.0
2026/04/08,4.519,4.604,4.517,4.602,996884580.0,0.0
2026/04/09,4.573,4.586,4.56,4.572,704955323.0,0.0
2026/04/10,4.588,4.664,4.588,4.642,906387271.0,0.0
2026/04/13,4.629,4.66,4.623,4.652,392892599.0,0.0
2026/04/14,4.679,4.712,4.663,4.712,427657077.0,0.0
2026/04/15,4.732,4.746,4.684,4.694,675980605.0,0.0
2026/04/16,4.704,4.747,4.7,4.746,853234423.0,0.0
2026/04/17,4.737,4.75,4.722,4.739,736150074.0,0.0
2026/04/20,4.735,4.777,4.728,4.765,762457819.0,0.0
2026/04/21,4.764,4.786,4.73,4.776,636108137.0,0.0
